Hospital Name,State,District
Dm Wims ( Wayanad Institute Of Medical Secience),Kerala,Wayanad
Fatima Mata Mission Hospital,Kerala,Wayanad
Leo Hospital,Kerala,Wayanad
Mayo Hospital,Kerala,Wayanad
St. Mary'S Mission Hospital,Kerala,Wayanad
Vinayaka Hospital,Kerala,Wayanad
Amala Cancer Hospital & Research Centre,Kerala,Thrissur
Aswini Hospital,Kerala,Thrissur
Ccmk Hospital,Kerala,Thrissur
Chandramathy Amma Memorial Hospital,Kerala,Thrissur
Devamatha Hospital,Kerala,Thrissur
Divine Medical Centre,Kerala,Thrissur
Elite Mission Hospital,Kerala,Thrissur
Irinjalakuda Co-Operative Hospital Limited,Kerala,Thrissur
Jeevodaya Mission Hospital,Kerala,Thrissur
Karuna Hospital,Kerala,Thrissur
Lal Memorial Hospital,Kerala,Thrissur
Medical Centre Thrissur Ltd.,Kerala,Thrissur
Medicare Hospital,Kerala,Thrissur
Modern Hospital Kodungallur Ltd.,Kerala,Thrissur
Mother Hospital,Kerala,Thrissur
Rajah Charitable Medical Trust,Kerala,Thrissur
Sun Medical And Research Centre (A Unit Of Thrissur Heart Hospital Ltd),Kerala,Thrissur
Thrissur District Co Operative Hospital,Kerala,Thrissur
West Fort Hi-Tech Hospital Ltd.,Kerala,Thrissur
West Fort Hospital,Kerala,Thrissur
A.J. Hospital,Kerala,Thiruvananthapuram
Al-Arif Hospital,Kerala,Thiruvananthapuram
Anadiyil Hospital,Kerala,Thiruvananthapuram
Ananthapuri Hospital & Research Institute,Kerala,Thiruvananthapuram
Arumana Hospital,Kerala,Thiruvananthapuram
Attingal Speciality Hospital,Kerala,Thiruvananthapuram
B.N.V Hospital Pvt Ltd,Kerala,Thiruvananthapuram
Chelsa Medical Care (P) Ltd.,Kerala,Thiruvananthapuram
Cosmopolitan Hospitals (P) Ltd,Kerala,Thiruvananthapuram
Dr.Somervell Memorial Csi Hospital,Kerala,Thiruvananthapuram
G.G. Hospital,Kerala,Thiruvananthapuram
India Hospital,Kerala,Thiruvananthapuram
Jubilee Memorial Hospital,Kerala,Thiruvananthapuram
Kaduvayil Thangal Charitable Trust Hospital,Kerala,Thiruvananthapuram
Kolath Medical Center Pvt Ltd,Kerala,Thiruvananthapuram
Lords Hospital,Kerala,Thiruvananthapuram
Medical Mission Hospital,Kerala,Thiruvananthapuram
Meditrina Hospital,Kerala,Thiruvananthapuram
Nims Hospital,Kerala,Thiruvananthapuram
P.R.S. Hospital,Kerala,Thiruvananthapuram
Punarjani Institute Of Medical Science & Research Pvt Ltd,Kerala,Thiruvananthapuram
Rural Institute Of Medical Science,Kerala,Thiruvananthapuram
S.K. Hospital,Kerala,Thiruvananthapuram
